,year,agency_code,career_cluster,num_concentrators,description
201,2019,920317,MRKT,52.0,Marketing Sales & Services
202,2019,920317,STEM,46.0,"Science, Tech, Engineering and Math"
203,2019,920317,TRAN,,"Transportation, Distribution & Logistics"
204,2019,920315,AAVC,,"Arts, Audio/Video Techn and Comm"
205,2019,920315,BMA,,Business Management and Administration
206,2019,920315,EDUC,,Education and Training
207,2019,920315,FINA,,Finance
208,2019,920315,HOSP,,Hospitality and Tourism
209,2019,920315,HUMA,,Human Services
210,2019,920315,INFO,,Information Technology
211,2019,920315,MRKT,,Marketing Sales & Services
212,2019,920315,STEM,,"Science, Tech, Engineering and Math"
213,2019,920316,AAVC,2.0,"Arts, Audio/Video Techn and Comm"
214,2019,920316,AGNR,22.0,Agricultural & Natural Resources Tech
215,2019,920316,ARCH,35.0,Architecture and Construction
216,2019,920316,BMA,24.0,Business Management and Administration
217,2019,920316,EDUC,,Education and Training
218,2019,920316,FINA,1.0,Finance
219,2019,920316,HLTH,13.0,Health Science
220,2019,920316,HOSP,19.0,Hospitality and Tourism
221,2019,920316,HUMA,,Human Services
222,2019,920316,INFO,98.0,Information Technology
223,2019,920316,LAW,,"Law, Public Safety, Corrections and Security"
224,2019,920316,MANU,,Manufacturing
225,2019,920316,MRKT,15.0,Marketing Sales & Services
226,2019,920316,STEM,1.0,"Science, Tech, Engineering and Math"
227,2019,920316,TRAN,5.0,"Transportation, Distribution & Logistics"
228,2019,920312,AAVC,,"Arts, Audio/Video Techn and Comm"
229,2019,920312,BMA,,Business Management and Administration
230,2019,920312,CD,,Career Development
231,2019,920312,EDUC,,Education and Training
232,2019,920312,FINA,,Finance
233,2019,920312,HOSP,,Hospitality and Tourism
234,2019,920312,HUMA,,Human Services
235,2019,920312,INFO,,Information Technology
236,2019,920312,MRKT,,Marketing Sales & Services
237,2019,920312,STEM,,"Science, Tech, Engineering and Math"
238,2019,450301,AAVC,,"Arts, Audio/Video Techn and Comm"
239,2019,450301,CD,,Career Development
240,2019,450301,EDUC,,Education and Training
241,2019,450301,HUMA,,Human Services
242,2019,450301,INFO,,Information Technology
243,2019,760378,AAVC,,"Arts, Audio/Video Techn and Comm"
244,2019,760378,AGNR,,Agricultural & Natural Resources Tech
245,2019,760378,EDUC,,Education and Training
246,2019,760378,HUMA,,Human Services
247,2019,760378,INFO,,Information Technology
248,2019,510364,AAVC,,"Arts, Audio/Video Techn and Comm"
249,2019,510364,AGNR,,Agricultural & Natural Resources Tech
250,2019,510364,EDUC,,Education and Training
251,2019,510364,HLTH,,Health Science
252,2019,510364,HUMA,,Human Services
253,2019,510364,INFO,,Information Technology
254,2019,600302,AAVC,6.0,"Arts, Audio/Video Techn and Comm"
255,2019,600302,AGNR,,Agricultural & Natural Resources Tech
256,2019,600302,ARCH,23.0,Architecture and Construction
257,2019,600302,BMA,3.0,Business Management and Administration
258,2019,600302,FINA,,Finance
259,2019,600302,HLTH,7.0,Health Science
260,2019,600302,HOSP,111.0,Hospitality and Tourism
261,2019,600302,HUMA,,Human Services
262,2019,600302,INFO,4.0,Information Technology
263,2019,600302,LAW,,"Law, Public Safety, Corrections and Security"
264,2019,600302,MANU,,Manufacturing
265,2019,600302,MRKT,3.0,Marketing Sales & Services
266,2019,600302,STEM,13.0,"Science, Tech, Engineering and Math"
267,2019,600302,TRAN,,"Transportation, Distribution & Logistics"
268,2019,550308,AGNR,,Agricultural & Natural Resources Tech
269,2019,550308,ARCH,,Architecture and Construction
270,2019,550308,CD,,Career Development
271,2019,550308,FINA,,Finance
272,2019,550308,HOSP,,Hospitality and Tourism
273,2019,550308,HUMA,,Human Services
274,2019,550308,LAW,,"Law, Public Safety, Corrections and Security"
275,2019,360310,AAVC,,"Arts, Audio/Video Techn and Comm"
276,2019,360310,AGNR,54.0,Agricultural & Natural Resources Tech
277,2019,360310,ARCH,37.0,Architecture and Construction
278,2019,360310,BMA,27.0,Business Management and Administration
279,2019,360310,FINA,1.0,Finance
280,2019,360310,HLTH,21.0,Health Science
281,2019,360310,HOSP,52.0,Hospitality and Tourism
282,2019,360310,HUMA,,Human Services
283,2019,360310,INFO,14.0,Information Technology
284,2019,360310,LAW,,"Law, Public Safety, Corrections and Security"
285,2019,360310,MANU,,Manufacturing
286,2019,360310,MRKT,12.0,Marketing Sales & Services
287,2019,360310,TRAN,,"Transportation, Distribution & Logistics"
288,2019,50303,EDUC,,Education and Training
289,2019,50302,AAVC,,"Arts, Audio/Video Techn and Comm"
290,2019,50302,AGNR,,Agricultural & Natural Resources Tech
291,2019,50302,ARCH,,Architecture and Construction
292,2019,50302,BMA,,Business Management and Administration
293,2019,50302,EDUC,,Education and Training
294,2019,50302,FINA,,Finance
295,2019,50302,HLTH,,Health Science
296,2019,50302,HOSP,,Hospitality and Tourism
297,2019,50302,HUMA,,Human Services
298,2019,50302,INFO,,Information Technology
299,2019,50302,LAW,,"Law, Public Safety, Corrections and Security"
300,2019,50302,MANU,,Manufacturing
301,2019,50302,MRKT,,Marketing Sales & Services
302,2019,50302,STEM,,"Science, Tech, Engineering and Math"
303,2019,50302,TRAN,,"Transportation, Distribution & Logistics"
304,2019,50305,AGNR,,Agricultural & Natural Resources Tech
305,2019,50305,CD,,Career Development
306,2019,50305,STEM,,"Science, Tech, Engineering and Math"
307,2019,761304,AAVC,21.0,"Arts, Audio/Video Techn and Comm"
308,2019,761304,AGNR,18.0,Agricultural & Natural Resources Tech
309,2019,761304,ARCH,2.0,Architecture and Construction
310,2019,761304,BMA,6.0,Business Management and Administration
311,2019,761304,EDUC,,Education and Training
312,2019,761304,FINA,2.0,Finance
313,2019,761304,HLTH,50.0,Health Science
314,2019,761304,HOSP,23.0,Hospitality and Tourism
315,2019,761304,HUMA,6.0,Human Services
316,2019,761304,INFO,11.0,Information Technology
317,2019,761304,LAW,6.0,"Law, Public Safety, Corrections and Security"
318,2019,761304,MANU,8.0,Manufacturing
319,2019,761304,MRKT,7.0,Marketing Sales & Services
320,2019,761304,STEM,21.0,"Science, Tech, Engineering and Math"
321,2019,761304,TRAN,9.0,"Transportation, Distribution & Logistics"
322,2019,111302,AAVC,6.0,"Arts, Audio/Video Techn and Comm"
323,2019,111302,AGNR,5.0,Agricultural & Natural Resources Tech
324,2019,111302,ARCH,,Architecture and Construction
325,2019,111302,BMA,4.0,Business Management and Administration
326,2019,111302,EDUC,,Education and Training
327,2019,111302,FINA,,Finance
328,2019,111302,HLTH,11.0,Health Science
329,2019,111302,HOSP,7.0,Hospitality and Tourism
330,2019,111302,HUMA,14.0,Human Services
331,2019,111302,INFO,4.0,Information Technology
332,2019,111302,LAW,8.0,"Law, Public Safety, Corrections and Security"
333,2019,111302,MANU,11.0,Manufacturing
334,2019,111302,MRKT,2.0,Marketing Sales & Services
335,2019,111302,STEM,,"Science, Tech, Engineering and Math"
336,2019,111302,TRAN,,"Transportation, Distribution & Logistics"
337,2019,111356,AAVC,,"Arts, Audio/Video Techn and Comm"
338,2019,111356,CD,,Career Development
339,2019,111356,EDUC,,Education and Training
340,2019,111356,HUMA,,Human Services
341,2019,111356,STEM,,"Science, Tech, Engineering and Math"
342,2019,770342,BMA,2.0,Business Management and Administration
343,2019,770342,FINA,,Finance
344,2019,770342,MANU,,Manufacturing
345,2019,770342,MRKT,,Marketing Sales & Services
346,2019,600311,CD,,Career Development
347,2019,600311,STEM,,"Science, Tech, Engineering and Math"
348,2019,920318,AAVC,17.0,"Arts, Audio/Video Techn and Comm"
349,2019,920318,AGNR,15.0,Agricultural & Natural Resources Tech
350,2019,920318,ARCH,19.0,Architecture and Construction
351,2019,920318,BMA,16.0,Business Management and Administration
352,2019,920318,EDUC,,Education and Training
353,2019,920318,FINA,1.0,Finance
354,2019,920318,HLTH,60.0,Health Science
355,2019,920318,HOSP,22.0,Hospitality and Tourism
356,2019,920318,HUMA,4.0,Human Services
357,2019,920318,INFO,15.0,Information Technology
358,2019,920318,LAW,2.0,"Law, Public Safety, Corrections and Security"
359,2019,920318,MANU,4.0,Manufacturing
360,2019,920318,MRKT,5.0,Marketing Sales & Services
361,2019,920318,STEM,26.0,"Science, Tech, Engineering and Math"
362,2019,920318,TRAN,,"Transportation, Distribution & Logistics"
363,2019,340311,AAVC,71.0,"Arts, Audio/Video Techn and Comm"
364,2019,340311,AGNR,,Agricultural & Natural Resources Tech
365,2019,340311,ARCH,1.0,Architecture and Construction
366,2019,340311,BMA,,Business Management and Administration
367,2019,340311,EDUC,,Education and Training
368,2019,340311,FINA,,Finance
369,2019,340311,HLTH,77.0,Health Science
370,2019,340311,HOSP,1.0,Hospitality and Tourism
371,2019,340311,HUMA,4.0,Human Services
372,2019,340311,INFO,1.0,Information Technology
373,2019,340311,LAW,,"Law, Public Safety, Corrections and Security"
374,2019,340311,MANU,,Manufacturing
375,2019,340311,MRKT,,Marketing Sales & Services
376,2019,340311,STEM,71.0,"Science, Tech, Engineering and Math"
377,2019,340311,TRAN,3.0,"Transportation, Distribution & Logistics"
378,2019,60302,AAVC,,"Arts, Audio/Video Techn and Comm"
379,2019,60302,AGNR,,Agricultural & Natural Resources Tech
380,2019,60302,ARCH,,Architecture and Construction
381,2019,60302,BMA,,Business Management and Administration
382,2019,60302,EDUC,,Education and Training
383,2019,60302,FINA,,Finance
384,2019,60302,HLTH,,Health Science
385,2019,60302,HOSP,,Hospitality and Tourism
386,2019,60302,HUMA,,Human Services
387,2019,60302,INFO,,Information Technology
388,2019,60302,LAW,,"Law, Public Safety, Corrections and Security"
389,2019,60302,MANU,,Manufacturing
390,2019,60302,MRKT,,Marketing Sales & Services
391,2019,60302,STEM,,"Science, Tech, Engineering and Math"
392,2019,60302,TRAN,,"Transportation, Distribution & Logistics"
393,2019,60318,AGNR,,Agricultural & Natural Resources Tech
394,2019,60318,BMA,,Business Management and Administration
395,2019,60318,FINA,,Finance
396,2019,60318,HOSP,,Hospitality and Tourism
397,2019,60318,INFO,,Information Technology
398,2019,60318,MRKT,,Marketing Sales & Services
399,2019,60318,STEM,,"Science, Tech, Engineering and Math"
400,2019,740308,CD,,Career Development
401,2019,740308,INFO,,Information Technology
402,2019,740308,STEM,,"Science, Tech, Engineering and Math"
403,2019,740309,AGNR,52.0,Agricultural & Natural Resources Tech
404,2019,740309,ARCH,9.0,Architecture and Construction
405,2019,740309,BMA,7.0,Business Management and Administration
406,2019,740309,FINA,,Finance
407,2019,740309,HLTH,32.0,Health Science
408,2019,740309,HOSP,25.0,Hospitality and Tourism
409,2019,740309,HUMA,,Human Services
410,2019,740309,INFO,8.0,Information Technology
411,2019,740309,LAW,,"Law, Public Safety, Corrections and Security"
412,2019,740309,MANU,,Manufacturing
413,2019,740309,MRKT,1.0,Marketing Sales & Services
414,2019,740309,TRAN,13.0,"Transportation, Distribution & Logistics"
415,2019,70310,AGNR,,Agricultural & Natural Resources Tech
416,2019,70310,ARCH,,Architecture and Construction
417,2019,70310,BMA,,Business Management and Administration
418,2019,70310,FINA,,Finance
419,2019,70310,HOSP,,Hospitality and Tourism
420,2019,70310,HUMA,,Human Services
421,2019,310304,CD,,Career Development
422,2019,310304,INFO,,Information Technology
423,2019,310304,STEM,,"Science, Tech, Engineering and Math"
424,2019,600313,BMA,,Business Management and Administration
425,2019,600313,CD,,Career Development
426,2019,600313,FINA,,Finance
427,2019,600313,HOSP,,Hospitality and Tourism
428,2019,600313,INFO,,Information Technology
429,2019,600313,MRKT,,Marketing Sales & Services
430,2019,600313,STEM,,"Science, Tech, Engineering and Math"
431,2019,180308,AAVC,1.0,"Arts, Audio/Video Techn and Comm"
432,2019,180308,AGNR,62.0,Agricultural & Natural Resources Tech
433,2019,180308,ARCH,2.0,Architecture and Construction
434,2019,180308,BMA,7.0,Business Management and Administration
435,2019,180308,EDUC,,Education and Training
436,2019,180308,FINA,,Finance
437,2019,180308,HLTH,15.0,Health Science
438,2019,180308,HOSP,32.0,Hospitality and Tourism
439,2019,180308,HUMA,3.0,Human Services
440,2019,180308,INFO,5.0,Information Technology
441,2019,180308,LAW,,"Law, Public Safety, Corrections and Security"
442,2019,180308,MANU,7.0,Manufacturing
443,2019,180308,MRKT,3.0,Marketing Sales & Services
444,2019,180308,STEM,4.0,"Science, Tech, Engineering and Math"
445,2019,180308,TRAN,,"Transportation, Distribution & Logistics"
446,2019,170316,AAVC,,"Arts, Audio/Video Techn and Comm"
447,2019,170316,AGNR,39.0,Agricultural & Natural Resources Tech
448,2019,170316,ARCH,2.0,Architecture and Construction
449,2019,170316,BMA,17.0,Business Management and Administration
450,2019,170316,EDUC,,Education and Training
451,2019,170316,FINA,,Finance
452,2019,170316,HLTH,21.0,Health Science
453,2019,170316,HOSP,12.0,Hospitality and Tourism
454,2019,170316,HUMA,5.0,Human Services
455,2019,170316,INFO,,Information Technology
456,2019,170316,LAW,12.0,"Law, Public Safety, Corrections and Security"
457,2019,170316,MANU,30.0,Manufacturing
458,2019,170316,MRKT,2.0,Marketing Sales & Services
459,2019,170316,STEM,,"Science, Tech, Engineering and Math"
460,2019,170316,TRAN,23.0,"Transportation, Distribution & Logistics"
461,2019,70308,CD,,Career Development
462,2019,70308,INFO,,Information Technology
