,year,agency_code,career_cluster,num_concentrators
581,2019,60334,HOSP,
582,2019,500302,AGNR,5.0
583,2019,500302,ARCH,2.0
584,2019,500302,INFO,1.0
585,2019,500302,LAW,
586,2019,500302,MANU,
587,2019,190308,INFO,
588,2019,610302,INFO,
589,2019,530306,AAVC,
590,2019,530306,AGNR,2.0
591,2019,530306,ARCH,1.0
592,2019,530306,BMA,
593,2019,530306,FINA,
594,2019,530306,HOSP,1.0
595,2019,530306,HUMA,
596,2019,530306,INFO,
597,2019,530306,STEM,
598,2019,490308,INFO,
599,2019,490308,STEM,
600,2019,880308,AAVC,32.0
601,2019,880308,AGNR,38.0
602,2019,880308,ARCH,19.0
603,2019,880308,BMA,18.0
604,2019,880308,EDUC,
605,2019,880308,FINA,
606,2019,880308,HLTH,13.0
607,2019,880308,HOSP,18.0
608,2019,880308,HUMA,
609,2019,880308,INFO,3.0
610,2019,880308,LAW,3.0
611,2019,880308,MANU,5.0
612,2019,880308,MRKT,8.0
613,2019,880308,STEM,11.0
614,2019,880308,TRAN,3.0
615,2019,880312,AGNR,
616,2019,880312,CD,
617,2019,880312,STEM,
618,2019,160311,INFO,
619,2019,160311,STEM,
620,2019,10310,CD,
621,2019,10310,INFO,
622,2019,10310,STEM,
623,2019,320306,STEM,
624,2019,960312,AGNR,
625,2019,960312,BMA,
626,2019,960312,FINA,
627,2019,960312,HOSP,
628,2019,960312,INFO,
629,2019,960312,MRKT,
630,2019,100307,AGNR,
631,2019,100307,ARCH,
632,2019,100307,BMA,
633,2019,100307,FINA,
634,2019,100307,INFO,
635,2019,100307,LAW,
636,2019,100307,MRKT,
637,2019,180320,AAVC,11.0
638,2019,180320,AGNR,22.0
639,2019,180320,ARCH,1.0
640,2019,180320,BMA,15.0
641,2019,180320,EDUC,
642,2019,180320,FINA,
643,2019,180320,HLTH,18.0
644,2019,180320,HOSP,5.0
645,2019,180320,HUMA,
646,2019,180320,INFO,12.0
647,2019,180320,LAW,
648,2019,180320,MANU,22.0
649,2019,180320,MRKT,5.0
650,2019,180320,STEM,
651,2019,180320,TRAN,
652,2019,350308,AAVC,7.0
653,2019,350308,AGNR,23.0
654,2019,350308,ARCH,17.0
655,2019,350308,BMA,19.0
656,2019,350308,EDUC,
657,2019,350308,FINA,
658,2019,350308,HLTH,11.0
659,2019,350308,HOSP,31.0
660,2019,350308,HUMA,
661,2019,350308,INFO,21.0
662,2019,350308,LAW,1.0
663,2019,350308,MANU,5.0
664,2019,350308,MRKT,1.0
665,2019,350308,STEM,
666,2019,350308,TRAN,
667,2019,350310,BMA,
668,2019,350310,CD,
669,2019,350310,FINA,
670,2019,350310,HOSP,
671,2019,350310,INFO,
672,2019,350310,MRKT,
673,2019,710316,INFO,
674,2019,710316,STEM,
675,2019,120310,AAVC,3.0
676,2019,120310,AGNR,1.0
677,2019,120310,ARCH,
678,2019,120310,FINA,
679,2019,120310,HUMA,1.0
680,2019,120310,INFO,1.0
681,2019,120310,LAW,1.0
682,2019,120310,MANU,
683,2019,120310,MRKT,
684,2019,120310,STEM,1.0
685,2019,120310,TRAN,
686,2019,230312,AAVC,8.0
687,2019,230312,AGNR,66.0
688,2019,230312,ARCH,33.0
689,2019,230312,BMA,10.0
690,2019,230312,EDUC,3.0
691,2019,230312,FINA,
692,2019,230312,HLTH,33.0
693,2019,230312,HOSP,43.0
694,2019,230312,HUMA,
695,2019,230312,INFO,13.0
696,2019,230312,LAW,6.0
697,2019,230312,MANU,17.0
698,2019,230312,MRKT,
699,2019,230312,STEM,
700,2019,230312,TRAN,
701,2019,230316,AGNR,
702,2019,230316,BMA,
703,2019,230316,FINA,
704,2019,230316,HOSP,
705,2019,230316,INFO,
706,2019,230316,MRKT,
707,2019,230316,STEM,
708,2019,600361,AAVC,42.0
709,2019,600361,AGNR,
710,2019,600361,ARCH,17.0
711,2019,600361,BMA,42.0
712,2019,600361,EDUC,
713,2019,600361,FINA,12.0
714,2019,600361,HLTH,52.0
715,2019,600361,HOSP,25.0
716,2019,600361,HUMA,
717,2019,600361,INFO,12.0
718,2019,600361,LAW,1.0
719,2019,600361,MANU,24.0
720,2019,600361,MRKT,35.0
721,2019,600361,STEM,10.0
722,2019,600361,TRAN,2.0
723,2019,390309,INFO,
724,2019,390309,STEM,
725,2019,130318,AAVC,
726,2019,130318,BMA,
727,2019,130318,CD,
728,2019,130318,EDUC,
729,2019,130318,FINA,
730,2019,130318,HOSP,
731,2019,130318,HUMA,
732,2019,130318,INFO,
733,2019,130318,MRKT,
734,2019,130318,STEM,
735,2019,320312,AAVC,
736,2019,320312,AGNR,62.0
737,2019,320312,ARCH,5.0
738,2019,320312,BMA,12.0
739,2019,320312,EDUC,
740,2019,320312,FINA,1.0
741,2019,320312,HLTH,
742,2019,320312,HOSP,33.0
743,2019,320312,HUMA,
744,2019,320312,INFO,4.0
745,2019,320312,LAW,
746,2019,320312,MANU,
747,2019,320312,MRKT,7.0
748,2019,320312,STEM,1.0
749,2019,320312,TRAN,
750,2019,410458,CD,
751,2019,740324,CD,
752,2019,740324,INFO,
753,2019,740324,STEM,
754,2019,130317,AAVC,
755,2019,130317,AGNR,1.0
756,2019,130317,ARCH,
757,2019,130317,BMA,
758,2019,130317,FINA,
759,2019,130317,HOSP,
760,2019,130317,HUMA,
761,2019,130317,INFO,
762,2019,130317,MANU,
763,2019,130317,MRKT,
764,2019,130317,TRAN,
765,2019,130349,BMA,
766,2019,130349,FINA,
767,2019,130349,INFO,
768,2019,130350,BMA,
769,2019,130350,FINA,
770,2019,130350,INFO,
771,2019,130350,LAW,
772,2019,130350,MRKT,
773,2019,140305,AAVC,1.0
774,2019,140305,BMA,1.0
775,2019,140305,FINA,
776,2019,140305,HLTH,27.0
777,2019,140305,HOSP,
778,2019,140305,INFO,10.0
779,2019,140305,LAW,
780,2019,140305,MANU,
781,2019,140305,MRKT,
782,2019,140305,STEM,16.0
783,2019,140305,TRAN,
784,2019,140309,ARCH,
785,2019,140309,BMA,2.0
786,2019,140309,FINA,
787,2019,140309,INFO,1.0
788,2019,140309,LAW,
789,2019,140309,MRKT,
790,2019,140309,STEM,
791,2019,150304,AAVC,
792,2019,150304,AGNR,20.0
793,2019,150304,ARCH,7.0
794,2019,150304,BMA,
795,2019,150304,EDUC,
796,2019,150304,FINA,
797,2019,150304,HLTH,22.0
798,2019,150304,HOSP,8.0
799,2019,150304,HUMA,
800,2019,150304,INFO,3.0
801,2019,150304,LAW,
802,2019,150304,MANU,2.0
803,2019,150304,MRKT,
804,2019,150304,STEM,8.0
805,2019,150304,TRAN,
806,2019,150350,AAVC,
807,2019,150350,AGNR,
808,2019,150350,ARCH,
809,2019,150350,BMA,1.0
