year,agency_code,career_cluster,num_concentrators
2017,760348,AGNR,71.0
2017,760348,ARCH,5.0
2017,760348,BMA,15.0
2017,760388,AGNR,40.0
2017,760388,ARCH,22.0
2017,760388,BMA,30.0
2017,760388,FINA,1.0
2017,770348,MANU,18.0
2017,770348,MRKT,56.0
2017,770348,STEM,47.0
2017,770348,TRAN,87.0
2017,770349,BMA,196.0
2017,770349,FINA,66.0
2017,770349,LAW,1.0
2017,770349,STEM,65.0
2017,780325,AAVC,4.0
2017,780325,AGNR,31.0
2017,780325,ARCH,9.0
2017,780325,BMA,70.0
2017,780325,FINA,30.0
2017,780325,HLTH,92.0
2017,780325,HOSP,5.0
2017,780325,INFO,9.0
2017,780325,LAW,2.0
2017,780325,MANU,7.0
2017,780325,MRKT,6.0
2017,780325,STEM,2.0
2017,780342,AAVC,31.0
2017,780342,AGNR,129.0
2017,780342,ARCH,8.0
2017,780342,BMA,58.0
2017,780342,FINA,14.0
2017,780342,HLTH,90.0
2017,780342,HOSP,82.0
2017,770348,LAW,35.0
2017,750318,HOSP,35.0
2017,770348,INFO,85.0
2017,770348,HLTH,80.0
2017,760388,HLTH,27.0
2017,760388,HOSP,43.0
2017,760388,HUMA,9.0
2017,760388,INFO,22.0
2017,760388,LAW,2.0
2017,760388,MANU,2.0
2017,760388,MRKT,28.0
2017,760388,TRAN,16.0
2017,761304,AAVC,18.0
2017,761304,AGNR,14.0
2017,761304,ARCH,7.0
2017,761304,BMA,11.0
2017,761304,HLTH,67.0
2017,761304,HOSP,50.0
2017,761304,HUMA,24.0
2017,761304,INFO,9.0
2017,761304,LAW,8.0
2017,761304,MANU,6.0
2017,761304,MRKT,78.0
2017,761304,STEM,2.0
2017,761304,TRAN,4.0
2017,770342,HLTH,1.0
2017,770348,AAVC,44.0
2017,770348,AGNR,12.0
2017,770348,ARCH,39.0
2017,770348,BMA,80.0
2017,770348,FINA,39.0
2017,770348,HOSP,103.0
2017,750318,HLTH,39.0
2017,750318,BMA,4.0
2017,750318,ARCH,20.0
2017,720316,BMA,10.0
2017,720316,FINA,10.0
2017,720316,HLTH,19.0
2017,720316,HOSP,3.0
2017,720316,HUMA,4.0
2017,720316,INFO,20.0
2017,720316,LAW,19.0
2017,720316,MANU,1.0
2017,720316,TRAN,29.0
2017,730352,AAVC,19.0
2017,730352,AGNR,69.0
2017,730352,ARCH,58.0
2017,730352,BMA,20.0
2017,730352,FINA,4.0
2017,730352,HLTH,54.0
2017,730352,HOSP,47.0
2017,730352,HUMA,12.0
2017,730352,LAW,9.0
2017,730352,MANU,20.0
2017,730352,MRKT,33.0
2017,730352,STEM,16.0
2017,730352,TRAN,12.0
2017,73B000,BMA,1.0
2017,73B000,HLTH,4.0
2017,73B000,HOSP,1.0
2017,740309,AGNR,182.0
2017,740309,ARCH,28.0
2017,720316,ARCH,1.0
2017,740309,BMA,22.0
2017,720316,AGNR,12.0
2017,710342,STEM,326.0
2017,700319,INFO,7.0
2017,700319,LAW,33.0
2017,700319,MANU,2.0
2017,700319,MRKT,12.0
2017,710321,AGNR,48.0
2017,710321,ARCH,41.0
2017,710321,HLTH,12.0
2017,710321,HOSP,20.0
2017,710321,INFO,3.0
2017,710321,MRKT,6.0
2017,710326,AGNR,16.0
2017,710326,ARCH,39.0
2017,710326,BMA,6.0
2017,710326,FINA,2.0
2017,710326,HLTH,44.0
2017,710326,LAW,2.0
2017,710327,HLTH,1.0
2017,710327,LAW,61.0
