Back to Introduction,,,,,,,,,,,,,,,,,
"To find specific information on one or more schools use the filter arrows to select the desired information. District Name includes the 115 district names, charter schools, regional schools, and lab schools. School Name is the name of the school. 

Beginning with the 2022–23 school year, Southside Ashpole has been transferred back to Public Schools of Robeson County from the Innovative School District. Therefore, Southside Ashpole is reported under the Public Schools of Robeson County using school code 295300. Questions regarding Southside Ashpole should be directed to Public Schools of Robeson County. 

",,,,,,"The Achievement Score (80%) and Growth Score (20%) are combined to create the Overall Score.  
AS(.8) + GS(.2) = OS

EVAAS Growth is based on an index value and the index is converted to both the school growth score and status.
The statuses are defined as follows:
Exceeds Growth >= 2.00
Meets Growth 1.99 to -2.00
Does Not Meet Growth < -2.00

The grade scale for reading and mathematics is the same as the School Performance Grade scale.",,,,,,,,,,,
District Name,"School
Code",School Name,State Board Region,Grade Span,Title I Served School,"Reading
Letter
Grade","Reading Overall Score
(OS)","Reading Achievement
Score
(AS)","Reading Growth Score
(GS)",Reading Growth Status,Reading Growth Index,"Mathematics
Letter Grade","Mathematics Overall Score
(OS)","Mathematics Achievement
Score
(AS)","Mathematics Growth Score
(GS)",Mathematics Growth Status,Mathematics Growth Index
Lenoir County Public Schools,540316,La Grange Elementary,Southeast,PK-05,Y,D,46,37.8,81.0,Met,0.41,D,42,34.8,70.7,Met,-1.86
Lenoir County Public Schools,540320,Moss Hill Elementary,Southeast,0K-05,Y,C,57,50.7,84.3,Met,1.75,C,56,52.6,67.9,Not Met,-2.42
Lenoir County Public Schools,540325,Northeast Elementary,Southeast,PK-05,Y,F,27,14.8,76.3,Met,-0.73,F,28,14.8,83.2,Met,1.28
Lenoir County Public Schools,540326,Northwest Elementary,Southeast,0K-05,Y,D,48,39.3,84.5,Met,1.83,C,56,49.3,84.7,Met,1.89
Lenoir County Public Schools,540328,Pink Hill Elementary,Southeast,PK-05,Y,D,51,43.7,82.4,Met,0.97,C,58,51.6,84.6,Met,1.87
Lenoir County Public Schools,540330,Rochelle Middle,Southeast,06-08,Y,F,35,24.7,74.0,Met,-1.20,F,31,19.7,77.3,Met,-0.54
Lenoir County Public Schools,540338,Southeast Elementary,Southeast,0K-05,Y,F,33,20.9,79.9,Met,-0.01,F,33,18.6,88.6,Exceeded,3.44
Lenoir County Public Schools,540340,Southwood Elementary,Southeast,0K-05,Y,D,44,34.0,83.1,Met,1.27,D,42,31.9,83.5,Met,1.43
Lenoir County Public Schools,540344,Woodington Middle,Southeast,06-08,Y,C,61,54.0,87.2,Exceeded,2.90,D,47,40.2,73.5,Met,-1.30
Lincoln County Schools,550312,Battleground Elementary,Southwest,PK-05,Y,F,37,27.7,73.6,Met,-1.28,F,36,27.7,70.7,Met,-1.86
Lincoln County Schools,550314,Catawba Springs Elementary,Southwest,PK-05,,C,68,66.7,73.3,Met,-1.33,B,74,78.4,55.4,Not Met,-6.75
Lincoln County Schools,550316,GE Massey Elementary,Southwest,PK-05,Y,D,52,44.5,80.2,Met,0.10,B,70,69.5,72.6,Met,-1.47
Lincoln County Schools,550322,East Lincoln Middle,Southwest,06-08,,C,59,58.4,59.7,Not Met,-4.14,C,64,64.6,62.1,Not Met,-3.57
Lincoln County Schools,550328,Iron Station Elementary,Southwest,PK-05,Y,D,48,41.5,72.0,Met,-1.59,C,60,54.4,80.5,Met,0.23
Lincoln County Schools,550334,Lincolnton Middle,Southwest,06-08,Y,D,41,36.9,58.8,Not Met,-4.68,D,47,44.4,57.8,Not Met,-5.31
Lincoln County Schools,550336,Love Memorial Elementary,Southwest,PK-05,Y,D,48,42.3,70.4,Met,-1.92,F,30,23.6,57.8,Not Met,-5.32
Lincoln County Schools,550340,Childers Elementary,Southwest,PK-05,Y,D,52,48.2,67.8,Not Met,-2.44,D,51,49.2,58.8,Not Met,-4.68
Lincoln County Schools,550342,North Brook Elementary,Southwest,PK-05,Y,D,54,47.0,80.8,Met,0.34,C,62,61.7,65.1,Not Met,-2.97
Lincoln County Schools,550349,Pumpkin Center Intermediate,Southwest,03-05,,D,50,44.4,74.6,Met,-1.08,D,51,48.6,59.2,Not Met,-4.46
Lincoln County Schools,550350,North Lincoln Middle,Southwest,06-08,,C,63,59.7,73.7,Met,-1.25,C,68,69.4,63.7,Not Met,-3.25
Lincoln County Schools,550356,Rock Springs Elementary,Southwest,PK-05,,B,76,73.4,84.7,Met,1.91,B,79,83.4,63.4,Not Met,-3.31
Lincoln County Schools,550360,S Ray Lowder Elementary,Southwest,PK-05,Y,D,48,41.7,71.7,Met,-1.66,C,57,51.2,82.5,Met,1.03
Lincoln County Schools,550362,St James Elementary,Southwest,PK-05,,B,70,67.6,81.6,Met,0.64,B,73,76.1,59.8,Not Met,-4.09
Lincoln County Schools,550364,Union Elementary,Southwest,PK-05,Y,C,66,62.3,82.1,Met,0.86,B,71,71.9,68.4,Not Met,-2.32
Lincoln County Schools,550372,West Lincoln Middle,Southwest,06-08,Y,D,45,42.2,56.1,Not Met,-6.31,D,54,54.2,54.3,Not Met,-7.39
Macon County Schools,560304,Cartoogechaye Elementary,Western,PK-04,Y,C,63,56.3,87.6,Exceeded,3.07,C,60,57.1,70.1,Met,-1.98
Macon County Schools,560316,East Franklin Elementary,Western,0K-04,Y,D,52,45.3,77.1,Met,-0.58,C,67,65.0,76.0,Met,-0.79
Macon County Schools,560324,Highlands School,Western,0K-12,Y,C,64,58.7,84.4,Met,1.79,C,62,59.7,70.4,Met,-1.91
Macon County Schools,560328,Iotla Valley Elementary,Western,PK-04,Y,D,51,43.2,81.3,Met,0.55,D,49,43.8,70.9,Met,-1.82
Macon County Schools,560330,Macon Middle School,Western,07-08,Y,C,55,49.7,73.8,Met,-1.24,D,52,45.8,78.2,Met,-0.35
Macon County Schools,560331,Mountain View Intermediate,Western,05-06,Y,D,52,45.7,76.9,Met,-0.61,D,52,49.9,59.0,Not Met,-4.57
Macon County Schools,560332,Nantahala School,Western,0K-12,Y,C,55,55.0,,,,F,35,35.0,,,
Macon County Schools,560338,South Macon Elementary,Western,PK-04,Y,C,58,52.6,79.5,Met,-0.10,C,59,58.9,58.0,Not Met,-5.18
Macon County Schools,560340,Macon Virtual Academy,Western,0K-08,,C,57,51.9,79.0,Met,-0.19,F,18,7.3,58.7,Not Met,-4.75
Madison County Schools,570306,Brush Creek Elementary,Western,0K-05,Y,C,64,60.8,78.2,Met,-0.36,C,68,69.3,62.6,Not Met,-3.47
Madison County Schools,570312,Hot Springs Elementary,Western,0K-05,Y,B,75,75.0,74.9,Met,-1.01,B,79,80.8,73.0,Met,-1.39
Madison County Schools,570319,Madison Middle School,Western,06-08,,C,58,58.7,57.6,Not Met,-5.42,C,61,60.1,62.7,Not Met,-3.45
Madison County Schools,570320,Mars Hill Elementary,Western,0K-05,Y,C,58,53.4,74.3,Met,-1.14,C,59,58.9,61.8,Not Met,-3.63
Martin County Schools,580312,E J Hayes Elementary,Northeast,03-05,Y,D,41,33.7,69.9,Not Met,-2.01,F,38,33.3,58.5,Not Met,-4.86
Martin County Schools,580316,South Creek Elementary,Northeast,PK-05,Y,F,29,20.9,63.2,Not Met,-3.35,F,31,23.6,59.1,Not Met,-4.51
Martin County Schools,580324,Jamesville Elementary,Northeast,PK-05,Y,C,59,57.0,68.4,Not Met,-2.31,C,61,59.5,69.0,Not Met,-2.20
Martin County Schools,580337,South Creek Middle,Northeast,06-08,Y,F,31,18.8,80.1,Met,0.05,F,20,10.1,61.9,Not Met,-3.61
Martin County Schools,580356,Rodgers Elementary,Northeast,0K-05,Y,C,56,52.0,73.4,Met,-1.32,C,64,62.7,68.3,Not Met,-2.34
Martin County Schools,580372,Riverside Middle,Northeast,06-08,Y,D,42,33.0,79.6,Met,-0.08,F,34,24.2,75.2,Met,-0.96
McDowell County Schools,590306,Eastfield Global Magnet School,Northwest,PK-05,Y,D,53,46.7,77.4,Met,-0.51,C,62,56.7,82.1,Met,0.87
McDowell County Schools,590310,East McDowell Middle School,Northwest,06-08,,D,51,42.9,81.9,Met,0.76,C,56,46.8,94.6,Exceeded,6.80
McDowell County Schools,590316,Glenwood Elementary School,Northwest,PK-05,Y,C,56,48.3,87.8,Exceeded,3.15,C,60,53.4,85.9,Exceeded,2.38
McDowell County Schools,590320,Marion Elementary School,Northwest,PK-05,Y,C,58,51.8,83.8,Met,1.55,C,67,68.9,60.0,Not Met,-3.99
McDowell County Schools,590329,McDowell Virtual Academy,Northwest,0K-12,,C,56,49.3,81.3,Met,0.55,F,30,22.5,58.4,Not Met,-4.92
McDowell County Schools,590332,Nebo Elementary School,Northwest,PK-05,Y,C,55,46.7,86.7,Exceeded,2.69,C,64,55.7,97.1,Exceeded,8.26
McDowell County Schools,590336,North Cove Elementary School,Northwest,PK-05,Y,C,55,47.7,82.0,Met,0.81,D,51,46.8,67.5,Not Met,-2.50
McDowell County Schools,590340,Old Fort Elementary School,Northwest,PK-05,Y,C,62,56.8,83.8,Met,1.54,C,59,53.6,79.2,Met,-0.16
McDowell County Schools,590344,Pleasant Gardens Elementary School,Northwest,PK-05,Y,D,49,41.9,79.2,Met,-0.15,C,56,51.2,76.7,Met,-0.65
McDowell County Schools,590352,West Marion Elementary School,Northwest,PK-05,Y,D,45,36.7,78.8,Met,-0.23,D,51,43.0,80.7,Met,0.30
McDowell County Schools,590356,West McDowell Middle School,Northwest,06-08,,D,52,45.9,76.8,Met,-0.63,D,54,45.8,86.4,Exceeded,2.59
McDowell County Schools,590393,Foothills Community School,Northwest,06-08,,C,68,66.3,72.3,Met,-1.53,B,70,67.4,80.6,Met,0.26
Charlotte-Mecklenburg Schools,600300,Albemarle Road Elementary,Southwest,0K-05,Y,F,39,26.6,89.3,Exceeded,3.72,D,49,37.7,92.3,Exceeded,5.42
Charlotte-Mecklenburg Schools,600301,Albemarle Road Middle,Southwest,06-08,Y,D,47,36.6,90.1,Exceeded,4.09,F,38,30.1,69.4,Not Met,-2.12
Charlotte-Mecklenburg Schools,600303,Charlotte East Language Academy,Southwest,0K-08,Y,F,34,22.8,78.2,Met,-0.35,D,48,39.0,82.2,Met,0.91
Charlotte-Mecklenburg Schools,600304,Rea Farms STEAM Academy,Southwest,0K-07,,B,79,77.2,84.2,Met,1.69,B,83,84.1,80.5,Met,0.21
Charlotte-Mecklenburg Schools,600305,J. M. Alexander Middle,Southwest,06-08,,D,44,39.0,65.7,Not Met,-2.85,F,33,28.2,50.0,Not Met,-10.01
Charlotte-Mecklenburg Schools,600306,North Academy of World Languages,Southwest,0K-07,,C,69,63.6,89.1,Exceeded,3.66,B,70,66.8,82.9,Met,1.19
Charlotte-Mecklenburg Schools,600308,Allenbrook Elementary,Southwest,PK-05,Y,D,49,38.0,93.0,Exceeded,5.85,B,72,65.2,97.3,Exceeded,8.38
Charlotte-Mecklenburg Schools,600311,Ashley Park PreK-8 School,Southwest,PK-08,Y,F,33,20.5,81.5,Met,0.63,F,30,16.8,83.9,Met,1.56
Charlotte-Mecklenburg Schools,600313,Bailey Middle,Southwest,06-08,,B,75,71.5,89.8,Exceeded,3.92,A,85,81.5,98.4,Exceeded,9.05
Charlotte-Mecklenburg Schools,600314,Bain Elementary,Southwest,PK-05,,C,67,60.8,91.1,Exceeded,4.66,B,79,76.7,86.6,Exceeded,2.64
Charlotte-Mecklenburg Schools,600316,Charles H. Parker Academic Center,Southwest,0K-05,Y,C,61,56.2,79.5,Met,-0.09,C,63,57.9,81.3,Met,0.53
Charlotte-Mecklenburg Schools,600317,Whitewater Middle,Southwest,06-08,Y,D,43,30.5,91.8,Exceeded,5.08,D,49,37.6,96.3,Exceeded,7.80
Charlotte-Mecklenburg Schools,600318,Whitewater Academy,Southwest,PK-05,Y,D,47,36.7,86.4,Exceeded,2.56,C,62,53.4,94.5,Exceeded,6.73
Charlotte-Mecklenburg Schools,600319,Berryhill School,Southwest,PK-08,Y,D,41,30.2,85.5,Exceeded,2.20,D,48,36.6,92.9,Exceeded,5.79
Charlotte-Mecklenburg Schools,600321,Charlotte-Mecklenburg Virtual Elementary,Southwest,0K-05,Y,D,41,35.1,63.5,Not Met,-3.30,F,30,24.9,50.0,Not Met,-13.87
Charlotte-Mecklenburg Schools,600322,Beverly Woods Elementary,Southwest,0K-05,,B,77,77.1,78.6,Met,-0.28,A,86,85.0,89.3,Exceeded,3.73
Charlotte-Mecklenburg Schools,600323,Charlotte-Mecklenburg Virtual Middle,Southwest,06-08,Y,D,47,39.4,78.9,Met,-0.22,F,31,26.4,50.0,Not Met,-11.17
Charlotte-Mecklenburg Schools,600328,Barnette Elementary,Southwest,PK-05,,C,66,60.6,87.8,Exceeded,3.13,B,75,70.0,94.1,Exceeded,6.47
Charlotte-Mecklenburg Schools,600329,Briarwood Academy,Southwest,PK-05,Y,D,44,34.4,84.0,Met,1.63,C,60,51.8,93.2,Exceeded,5.94
Charlotte-Mecklenburg Schools,600333,Carmel Middle,Southwest,06-08,,C,60,56.3,76.8,Met,-0.64,C,65,60.4,83.1,Met,1.25
Charlotte-Mecklenburg Schools,600336,Chantilly Montessori,Southwest,PK-06,,B,75,74.0,79.6,Met,-0.08,B,70,68.5,74.9,Met,-1.02
Charlotte-Mecklenburg Schools,600338,Clear Creek Elementary,Southwest,PK-05,,D,52,42.7,86.8,Exceeded,2.72,C,64,56.4,92.0,Exceeded,5.20
Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,Southwest,06-12,Y,F,33,21.5,79.6,Met,-0.07,F,33,21.1,82.1,Met,0.86
Charlotte-Mecklenburg Schools,600344,Collinswood Language Academy,Southwest,0K-08,,C,59,54.5,76.7,Met,-0.65,C,57,54.4,67.5,Not Met,-2.49
Charlotte-Mecklenburg Schools,600345,Community House Middle,Southwest,06-08,,B,81,79.9,85.3,Exceeded,2.13,B,83,81.7,87.9,Exceeded,3.18
Charlotte-Mecklenburg Schools,600346,Cornelius Elementary,Southwest,0K-05,,C,64,60.0,79.2,Met,-0.15,B,71,69.4,77.7,Met,-0.46
Charlotte-Mecklenburg Schools,600349,Cotswold Elementary,Southwest,03-05,Y,D,43,37.0,67.8,Not Met,-2.43,D,51,47.4,67.3,Not Met,-2.53
Charlotte-Mecklenburg Schools,600351,Coulwood STEM Academy,Southwest,06-08,Y,D,50,39.2,92.5,Exceeded,5.51,C,69,61.1,100.0,Exceeded,20.20
Charlotte-Mecklenburg Schools,600352,Crown Point Elementary,Southwest,PK-05,,D,50,44.8,73.1,Met,-1.38,C,64,59.2,81.8,Met,0.73
Charlotte-Mecklenburg Schools,600353,Crestdale Middle,Southwest,06-08,,C,69,63.6,89.5,Exceeded,3.82,B,70,69.1,75.4,Met,-0.91
Charlotte-Mecklenburg Schools,600357,Davidson K-8 School,Southwest,0K-08,,B,78,76.4,82.3,Met,0.94,B,81,80.8,82.8,Met,1.15
Charlotte-Mecklenburg Schools,600362,David Cox Road Elementary,Southwest,PK-05,Y,F,38,28.2,79.3,Met,-0.13,F,37,26.0,82.4,Met,0.99
Charlotte-Mecklenburg Schools,600365,Devonshire Elementary,Southwest,0K-05,Y,F,29,16.0,83.1,Met,1.24,D,49,37.7,91.9,Exceeded,5.19
Charlotte-Mecklenburg Schools,600366,Marie G Davis School,Southwest,0K-08,Y,F,38,26.5,83.2,Met,1.29,F,31,19.2,78.4,Met,-0.32
Charlotte-Mecklenburg Schools,600367,Dilworth Elementary School Latta Campus,Southwest,03-05,,B,79,77.1,85.1,Exceeded,2.06,B,76,80.2,60.1,Not Met,-3.98
Charlotte-Mecklenburg Schools,600368,First Ward Creative Arts Academy,Southwest,0K-05,Y,D,48,40.5,79.4,Met,-0.11,C,61,53.9,87.8,Exceeded,3.12
Charlotte-Mecklenburg Schools,600369,Berewick Elementary,Southwest,PK-05,,D,52,43.0,89.6,Exceeded,3.84,C,58,49.7,92.7,Exceeded,5.67
Charlotte-Mecklenburg Schools,600374,Druid Hills Academy,Southwest,PK-08,Y,F,26,12.6,79.3,Met,-0.14,F,19,6.4,70.0,Met,-1.99
Charlotte-Mecklenburg Schools,600379,Eastover Elementary,Southwest,0K-05,,B,71,66.5,86.6,Exceeded,2.65,B,73,69.6,84.5,Met,1.82
Charlotte-Mecklenburg Schools,600381,Eastway Middle,Southwest,06-08,Y,F,39,26.3,90.5,Exceeded,4.33,D,42,29.7,93.3,Exceeded,5.98
Charlotte-Mecklenburg Schools,600382,Elizabeth Lane Elementary,Southwest,0K-05,,B,72,71.4,75.5,Met,-0.89,A,88,87.8,86.9,Exceeded,2.76
Charlotte-Mecklenburg Schools,600383,Elon Park Elementary,Southwest,0K-05,,B,79,75.7,90.9,Exceeded,4.54,A,85,84.3,88.0,Exceeded,3.20
Charlotte-Mecklenburg Schools,600384,Elizabeth Traditional Elem,Southwest,0K-05,Y,D,50,41.7,84.3,Met,1.75,C,68,61.2,95.5,Exceeded,7.35
Charlotte-Mecklenburg Schools,600385,Endhaven Elementary,Southwest,PK-05,,C,66,60.2,86.8,Exceeded,2.75,C,67,62.1,84.1,Met,1.66
Charlotte-Mecklenburg Schools,600392,Polo Ridge Elementary,Southwest,0K-05,,B,83,82.8,86.1,Exceeded,2.46,A,87,89.6,78.1,Met,-0.38
Charlotte-Mecklenburg Schools,600394,Francis Bradley Middle,Southwest,06-08,,C,60,54.0,85.4,Exceeded,2.17,B,70,64.0,95.5,Exceeded,7.31
Charlotte-Mecklenburg Schools,600398,Greenway Park Elementary,Southwest,PK-05,Y,D,48,37.6,87.3,Exceeded,2.94,C,60,54.1,83.3,Met,1.33
Charlotte-Mecklenburg Schools,600399,Alexander Graham Middle,Southwest,06-08,,C,62,53.8,92.6,Exceeded,5.59,C,61,53.6,89.2,Exceeded,3.69
Charlotte-Mecklenburg Schools,600406,Hawk Ridge Elementary,Southwest,PK-05,,B,83,81.5,90.1,Exceeded,4.10,A,90,89.9,92.1,Exceeded,5.29
Charlotte-Mecklenburg Schools,600408,Lawrence Orr Elementary,Southwest,PK-05,Y,D,51,42.0,87.4,Exceeded,2.96,C,63,54.9,96.8,Exceeded,8.09
Charlotte-Mecklenburg Schools,600409,Parkside Elementary,Southwest,PK-05,,D,53,46.2,82.3,Met,0.93,C,61,54.2,89.0,Exceeded,3.62
Charlotte-Mecklenburg Schools,600410,Hickory Grove Elementary,Southwest,PK-05,Y,F,35,23.0,80.9,Met,0.36,F,33,21.2,80.2,Met,0.09
Charlotte-Mecklenburg Schools,600411,Highland Creek Elementary,Southwest,0K-05,,C,62,56.2,83.0,Met,1.22,C,68,61.6,92.3,Exceeded,5.43
Charlotte-Mecklenburg Schools,600412,Hidden Valley Elementary,Southwest,PK-05,Y,F,34,21.0,87.5,Exceeded,3.03,C,56,47.1,92.8,Exceeded,5.70
Charlotte-Mecklenburg Schools,600413,Highland Mill Montessori,Southwest,PK-06,,B,80,78.8,84.3,Met,1.72,A,86,85.8,86.4,Exceeded,2.57
Charlotte-Mecklenburg Schools,600414,Highland Renaissance Academy,Southwest,PK-05,Y,F,39,27.2,85.4,Exceeded,2.19,D,41,27.9,91.5,Exceeded,4.90
Charlotte-Mecklenburg Schools,600416,Hornets Nest Elementary,Southwest,PK-05,Y,F,31,18.4,82.4,Met,0.98,F,38,26.3,84.5,Met,1.80
Charlotte-Mecklenburg Schools,600418,Croft Community School,Southwest,PK-05,,D,48,38.8,83.1,Met,1.25,C,63,57.1,84.9,Met,1.98
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,Southwest,0K-05,,B,72,69.9,78.6,Met,-0.27,B,84,82.1,91.2,Exceeded,4.74
Charlotte-Mecklenburg Schools,600422,Huntingtowne Farms Elementary,Southwest,PK-05,,F,39,31.1,68.3,Not Met,-2.34,C,55,48.3,81.5,Met,0.61
Charlotte-Mecklenburg Schools,600424,Idlewild Elementary,Southwest,PK-05,Y,C,56,47.1,89.1,Exceeded,3.64,C,69,61.9,99.5,Exceeded,9.73
Charlotte-Mecklenburg Schools,600428,James Martin Middle,Southwest,06-08,Y,D,43,30.9,91.0,Exceeded,4.65,F,21,13.3,52.0,Not Met,-8.79
Charlotte-Mecklenburg Schools,600429,Gov's Village STEM (Upper),Southwest,05-08,Y,D,50,40.7,85.7,Exceeded,2.31,D,45,35.9,82.9,Met,1.17
Charlotte-Mecklenburg Schools,600431,Jay M. Robinson Middle,Southwest,06-08,,B,80,78.7,86.3,Exceeded,2.53,A,92,89.7,100.0,Exceeded,11.13
Charlotte-Mecklenburg Schools,600432,Joseph W Grier Academy,Southwest,PK-05,Y,D,42,32.4,80.1,Met,0.04,D,42,32.1,81.6,Met,0.65
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,Southwest,0K-05,,C,67,61.8,86.2,Exceeded,2.49,B,84,81.8,91.1,Exceeded,4.68
Charlotte-Mecklenburg Schools,600434,Kennedy Middle,Southwest,06-08,,D,54,45.5,86.3,Exceeded,2.54,D,48,40.9,75.2,Met,-0.95
Charlotte-Mecklenburg Schools,600435,Trillium Springs Montessori,Southwest,PK-06,,B,74,71.9,81.1,Met,0.45,C,69,68.8,70.2,Met,-1.95
Charlotte-Mecklenburg Schools,600436,Lake Wylie Elementary,Southwest,PK-05,,D,42,32.3,80.8,Met,0.35,C,61,52.4,93.5,Exceeded,6.14
Charlotte-Mecklenburg Schools,600437,Ballantyne Elementary,Southwest,0K-05,,B,73,68.5,92.3,Exceeded,5.39,B,83,81.0,92.5,Exceeded,5.51
Charlotte-Mecklenburg Schools,600438,Lansdowne Elementary,Southwest,0K-05,,D,54,45.9,85.3,Exceeded,2.12,C,62,54.5,93.4,Exceeded,6.07
Charlotte-Mecklenburg Schools,600440,Lebanon Road Elementary,Southwest,PK-05,Y,F,37,26.2,78.5,Met,-0.30,D,49,39.9,84.6,Met,1.85
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,Southwest,PK-05,,C,56,46.9,90.6,Exceeded,4.41,C,64,56.3,95.0,Exceeded,7.01
Charlotte-Mecklenburg Schools,600444,Long Creek Elementary,Southwest,0K-05,,D,47,36.8,85.9,Exceeded,2.39,D,46,36.8,84.2,Met,1.69
Charlotte-Mecklenburg Schools,600446,Mallard Creek Elementary,Southwest,0K-05,,D,46,38.5,75.4,Met,-0.92,D,52,44.3,84.1,Met,1.65
Charlotte-Mecklenburg Schools,600447,Matthews Elementary,Southwest,0K-05,,C,65,60.3,81.5,Met,0.63,B,71,67.6,83.4,Met,1.39
Charlotte-Mecklenburg Schools,600448,"Martin Luther King, Jr Middle",Southwest,06-08,Y,F,32,19.9,78.8,Met,-0.23,F,21,13.3,53.0,Not Met,-8.16
Charlotte-Mecklenburg Schools,600449,McAlpine Elementary,Southwest,PK-05,,C,57,54.8,67.8,Not Met,-2.44,C,68,65.4,78.3,Met,-0.33
Charlotte-Mecklenburg Schools,600450,McClintock Middle,Southwest,06-08,Y,D,44,36.1,77.5,Met,-0.49,D,54,45.0,90.5,Exceeded,4.33
Charlotte-Mecklenburg Schools,600451,McKee Road Elementary,Southwest,0K-05,,B,75,71.4,89.1,Exceeded,3.65,A,85,85.0,83.6,Met,1.45
Charlotte-Mecklenburg Schools,600453,Merry Oaks International Academy,Southwest,PK-05,Y,F,33,20.7,83.1,Met,1.24,D,50,39.1,92.8,Exceeded,5.72
Charlotte-Mecklenburg Schools,600455,Mint Hill Middle,Southwest,06-08,,C,62,55.3,88.5,Exceeded,3.43,C,67,60.3,92.7,Exceeded,5.67
Charlotte-Mecklenburg Schools,600459,Montclaire Elementary,Southwest,PK-05,Y,F,28,16.4,74.8,Met,-1.03,F,38,27.4,81.6,Met,0.64
Charlotte-Mecklenburg Schools,600462,Mountain Island Lake Academy,Southwest,PK-08,Y,D,47,38.3,83.3,Met,1.32,D,44,33.9,83.7,Met,1.48
Charlotte-Mecklenburg Schools,600463,River Oaks Academy,Southwest,PK-05,Y,F,38,29.1,71.2,Met,-1.75,F,35,28.3,63.1,Not Met,-3.37
Charlotte-Mecklenburg Schools,600464,Myers Park Traditional Elem,Southwest,0K-05,,C,62,56.6,81.8,Met,0.74,B,73,68.4,88.9,Exceeded,3.56
Charlotte-Mecklenburg Schools,600468,Gov's Village STEM (Lower),Southwest,PK-04,Y,D,43,32.5,83.6,Met,1.46,D,53,43.3,92.6,Exceeded,5.61
Charlotte-Mecklenburg Schools,600471,Nations Ford Elementary,Southwest,PK-05,Y,F,27,15.0,75.2,Met,-0.95,D,50,38.1,100.0,Exceeded,12.21
Charlotte-Mecklenburg Schools,600474,Newell Elementary,Southwest,0K-05,Y,F,29,18.4,70.0,Met,-2.00,F,32,22.2,72.1,Met,-1.57
Charlotte-Mecklenburg Schools,600475,Vaughan Academy of Technology,Southwest,0K-05,,C,66,59.4,90.7,Exceeded,4.42,C,63,55.7,91.8,Exceeded,5.08
Charlotte-Mecklenburg Schools,600478,J. H. Gunn Elementary,Southwest,0K-05,Y,F,38,26.2,86.7,Exceeded,2.71,D,45,35.2,86.5,Exceeded,2.61
Charlotte-Mecklenburg Schools,600479,Northeast Middle,Southwest,06-08,Y,D,41,33.1,71.7,Met,-1.65,F,33,24.4,67.3,Not Met,-2.54
Charlotte-Mecklenburg Schools,600481,Northridge Middle,Southwest,06-08,Y,D,49,39.3,90.0,Exceeded,4.03,F,38,28.9,74.2,Met,-1.15
Charlotte-Mecklenburg Schools,600482,Northwest School of the Arts,Southwest,06-12,,B,71,66.9,87.9,Exceeded,3.18,B,74,69.0,95.8,Exceeded,7.48
Charlotte-Mecklenburg Schools,600483,South Pine Academy,Southwest,PK-04,Y,F,35,23.6,78.9,Met,-0.22,D,53,42.7,92.2,Exceeded,5.32
Charlotte-Mecklenburg Schools,600484,Oakhurst STEAM Academy,Southwest,0K-05,Y,D,48,38.5,87.3,Exceeded,2.94,D,51,43.4,81.1,Met,0.45
Charlotte-Mecklenburg Schools,600485,Oakdale Elementary,Southwest,0K-05,Y,F,35,22.9,81.6,Met,0.67,D,43,30.7,89.8,Exceeded,3.95
Charlotte-Mecklenburg Schools,600488,Oaklawn Language Academy,Southwest,0K-08,,D,51,41.8,85.4,Exceeded,2.16,C,62,55.3,86.8,Exceeded,2.74
Charlotte-Mecklenburg Schools,600489,Bruns Avenue Elementary,Southwest,PK-05,Y,F,27,12.8,85.3,Exceeded,2.15,F,29,15.2,82.6,Met,1.05
Charlotte-Mecklenburg Schools,600491,Olde Providence Elementary,Southwest,0K-05,,B,75,72.9,81.5,Met,0.61,B,79,83.4,59.6,Not Met,-4.22
Charlotte-Mecklenburg Schools,600492,Park Road Montessori,Southwest,PK-06,,B,77,74.8,84.4,Met,1.76,C,64,63.1,66.5,Not Met,-2.69
Charlotte-Mecklenburg Schools,600493,Palisades Park Elementary,Southwest,0K-05,,C,67,61.6,87.5,Exceeded,3.01,B,84,80.4,96.3,Exceeded,7.81
Charlotte-Mecklenburg Schools,600494,Paw Creek Elementary,Southwest,PK-05,Y,D,46,36.4,83.3,Met,1.33,C,56,46.6,94.1,Exceeded,6.46
Charlotte-Mecklenburg Schools,600497,Piedmont Middle School,Southwest,06-08,,C,68,70.8,58.3,Not Met,-4.98,B,75,73.0,81.1,Met,0.47
Charlotte-Mecklenburg Schools,600500,Pineville Elementary,Southwest,0K-05,,D,47,40.5,72.3,Met,-1.54,D,54,47.2,82.7,Met,1.08
Charlotte-Mecklenburg Schools,600501,Pinewood Elementary,Southwest,PK-05,Y,F,31,18.3,81.5,Met,0.63,F,39,30.0,72.6,Met,-1.48
Charlotte-Mecklenburg Schools,600503,Piney Grove Elementary,Southwest,PK-05,Y,F,36,24.7,80.0,Met,0.01,D,41,30.7,84.3,Met,1.73
Charlotte-Mecklenburg Schools,600507,Providence Spring Elementary,Southwest,0K-05,,A,87,87.4,83.1,Met,1.25,A,91,92.6,83.4,Met,1.38
Charlotte-Mecklenburg Schools,600509,Quail Hollow Middle,Southwest,06-08,,D,47,36.5,87.0,Exceeded,2.83,D,45,34.3,87.9,Exceeded,3.19
