Back to Introduction,,,,,,,,,,,,,,,,,
"To find specific information on one or more schools use the filter arrows to select the desired information. District Name includes the 115 district names, charter schools, regional schools, and lab schools. School Name is the name of the school. 

Beginning with the 2022–23 school year, Southside Ashpole has been transferred back to Public Schools of Robeson County from the Innovative School District. Therefore, Southside Ashpole is reported under the Public Schools of Robeson County using school code 295300. Questions regarding Southside Ashpole should be directed to Public Schools of Robeson County. 

",,,,,,"The Achievement Score (80%) and Growth Score (20%) are combined to create the Overall Score.  
AS(.8) + GS(.2) = OS

EVAAS Growth is based on an index value and the index is converted to both the school growth score and status.
The statuses are defined as follows:
Exceeds Growth >= 2.00
Meets Growth 1.99 to -2.00
Does Not Meet Growth < -2.00

The grade scale for reading and mathematics is the same as the School Performance Grade scale.",,,,,,,,,,,
District Name,"School
Code",School Name,State Board Region,Grade Span,Title I Served School,"Reading
Letter
Grade","Reading Overall Score
(OS)","Reading Achievement
Score
(AS)","Reading Growth Score
(GS)",Reading Growth Status,Reading Growth Index,"Mathematics
Letter Grade","Mathematics Overall Score
(OS)","Mathematics Achievement
Score
(AS)","Mathematics Growth Score
(GS)",Mathematics Growth Status,Mathematics Growth Index
Buncombe County Schools,110320,Black Mountain Primary,Western,0K-03,Y,D,54,48.6,76.4,Met,-0.72,C,56,55.6,,,
Buncombe County Schools,110324,Candler Elementary,Western,0K-04,Y,D,50,44.5,72.3,Met,-1.54,C,62,56.9,80.3,Met,0.13
Buncombe County Schools,110326,Cane Creek Middle,Western,06-08,,C,66,62.5,81.5,Met,0.62,B,71,66.4,90.0,Exceeded,4.01
Buncombe County Schools,110332,Bell Elementary,Western,0K-05,Y,C,63,60.4,75.2,Met,-0.96,C,62,60.4,70.5,Met,-1.89
Buncombe County Schools,110338,Owen Middle,Western,06-08,,D,46,43.9,55.6,Not Met,-6.62,D,43,39.5,59.3,Not Met,-4.38
Buncombe County Schools,110342,Erwin Middle,Western,07-08,,D,48,40.5,77.4,Met,-0.51,D,41,37.8,55.3,Not Met,-6.79
Buncombe County Schools,110348,Emma Elementary,Western,0K-04,Y,D,42,33.6,74.1,Met,-1.17,D,51,42.9,82.7,Met,1.09
Buncombe County Schools,110356,Fairview Elementary,Western,0K-05,Y,B,72,70.3,78.0,Met,-0.39,B,76,73.6,87.9,Exceeded,3.17
Buncombe County Schools,110366,Glen Arden Elementary,Western,0K-04,,C,62,58.9,75.9,Met,-0.82,C,69,71.4,59.8,Not Met,-4.08
Buncombe County Schools,110368,Haw Creek Elementary,Western,0K-05,Y,C,68,64.4,81.8,Met,0.75,C,67,65.0,72.7,Met,-1.45
Buncombe County Schools,110370,Hominy Valley Elementary,Western,0K-04,Y,C,61,57.2,77.3,Met,-0.54,C,64,59.1,83.5,Met,1.41
Buncombe County Schools,110372,Johnston Elementary,Western,0K-04,Y,F,30,20.5,67.9,Not Met,-2.41,F,33,20.5,83.2,Met,1.29
Buncombe County Schools,110376,Leicester Elementary,Western,0K-04,Y,D,48,39.4,82.5,Met,1.02,C,56,49.6,81.4,Met,0.56
Buncombe County Schools,110379,North Buncombe Elementary,Western,0K-04,Y,C,63,58.7,81.4,Met,0.58,C,65,60.8,83.1,Met,1.25
Buncombe County Schools,110381,North Buncombe Middle,Western,07-08,,C,61,60.9,62.9,Not Met,-3.41,B,76,72.1,93.2,Exceeded,5.94
Buncombe County Schools,110382,North Windy Ridge Intermediate,Western,05-06,Y,C,62,59.5,69.5,Not Met,-2.09,C,67,63.7,78.9,Met,-0.21
Buncombe County Schools,110384,Oakley Elementary,Western,0K-05,Y,D,48,39.7,81.2,Met,0.49,D,48,41.8,71.1,Met,-1.77
Buncombe County Schools,110388,Pisgah Elementary,Western,0K-04,Y,C,56,50.0,82.1,Met,0.87,B,73,69.2,89.1,Exceeded,3.66
Buncombe County Schools,110401,Enka Middle,Western,07-08,,D,47,44.4,59.0,Not Met,-4.57,D,49,41.5,77.4,Met,-0.52
Buncombe County Schools,110408,Sand Hill-Venable Elem,Western,0K-04,Y,D,48,42.7,71.6,Met,-1.68,C,59,50.3,92.6,Exceeded,5.60
Buncombe County Schools,110410,Avery's Creek Elementary,Western,0K-04,Y,D,51,44.2,78.5,Met,-0.29,D,54,46.6,81.1,Met,0.45
Buncombe County Schools,110412,Williams Elementary,Western,0K-05,Y,D,40,32.9,67.2,Not Met,-2.56,D,44,36.5,72.5,Met,-1.49
Buncombe County Schools,110420,Valley Springs Middle,Western,05-08,,C,60,53.4,84.0,Met,1.60,C,64,58.3,89.0,Exceeded,3.60
Buncombe County Schools,110422,Estes Elementary,Western,0K-05,Y,C,64,58.0,88.1,Exceeded,3.27,C,66,60.1,91.6,Exceeded,4.97
Buncombe County Schools,110425,Enka Intermediate,Western,05-06,Y,D,52,44.5,82.0,Met,0.83,C,58,53.7,73.7,Met,-1.26
Buncombe County Schools,110428,Weaverville Elementary,Western,02-04,Y,C,68,65.3,79.3,Met,-0.13,B,78,75.4,87.5,Exceeded,3.01
Buncombe County Schools,110436,West Buncombe Elementary,Western,0K-04,Y,C,63,57.7,82.7,Met,1.11,B,70,66.2,85.1,Exceeded,2.07
