year,agency_code,career_cluster
2019,080312,ARCH
2019,080312,BMA
2019,080312,FINA
2019,080312,HLTH
2019,080312,HOSP
2019,080312,HUMA
2019,080312,INFO
2019,080312,LAW
2019,080312,MANU
2019,080312,MRKT
2019,080312,STEM
2019,080312,TRAN
2019,080314,CD
2019,080314,INFO
2019,080314,STEM
2019,360336,AAVC
2019,360336,ARCH
2019,360336,BMA
2019,360336,FINA
2019,360336,HLTH
2019,360336,HOSP
2019,360336,HUMA
2019,360336,INFO
2019,360336,MANU
2019,360336,MRKT
2019,360336,STEM
2019,360336,TRAN
2019,360436,BMA
2019,360436,FINA
2019,360436,HOSP
2019,360436,INFO
2019,360436,MRKT
2019,360436,STEM
2019,740320,INFO
2019,950308,BMA
2019,950308,CD
2019,950308,FINA
2019,950308,HOSP
2019,950308,MRKT
2019,950308,STEM
2019,440318,AGNR
2019,440318,CD
2019,310308,CD
2019,310308,INFO
2019,310308,STEM
2019,090376,INFO
2019,090315,INFO
2019,950312,BMA
2019,950312,CD
2019,950312,FINA
2019,950312,HOSP
2019,950312,MRKT
2019,950312,STEM
2019,060334,BMA
2019,060334,FINA
2019,060334,HOSP
2019,500302,AGNR
2019,500302,ARCH
2019,500302,INFO
2019,500302,LAW
2019,500302,MANU
2019,190308,INFO
2019,610302,INFO
2019,530306,AAVC
2019,530306,AGNR
2019,530306,ARCH
2019,530306,BMA
2019,530306,FINA
2019,530306,HOSP
2019,530306,HUMA
2019,530306,INFO
2019,530306,STEM
2019,490308,INFO
2019,490308,STEM
2019,880308,AAVC
2019,880308,AGNR
2019,880308,ARCH
2019,880308,BMA
2019,880308,EDUC
2019,880308,FINA
2019,880308,HLTH
2019,880308,HOSP
2019,880308,HUMA
2019,880308,INFO
2019,880308,LAW
2019,880308,MANU
2019,880308,MRKT
2019,880308,STEM
2019,880308,TRAN
2019,880312,AGNR
2019,880312,CD
2019,880312,STEM
2019,160311,INFO
2019,160311,STEM
2019,010310,CD
2019,010310,INFO
2019,010310,STEM
2019,320306,STEM
2019,960312,AGNR
2019,960312,BMA
2019,960312,FINA
2019,960312,HOSP
2019,960312,INFO
2019,960312,MRKT
2019,100307,AGNR
2019,100307,ARCH
2019,100307,BMA
2019,100307,FINA
2019,100307,INFO
2019,100307,LAW
2019,100307,MRKT
2019,180320,AAVC
2019,180320,AGNR
2019,180320,ARCH
2019,180320,BMA
2019,180320,EDUC
2019,180320,FINA
2019,180320,HLTH
2019,180320,HOSP
2019,180320,HUMA
2019,180320,INFO
2019,180320,LAW
2019,180320,MANU
2019,180320,MRKT
2019,180320,STEM
2019,180320,TRAN
2019,350308,AAVC
2019,350308,AGNR
2019,350308,ARCH
2019,350308,BMA
2019,350308,EDUC
2019,350308,FINA
2019,350308,HLTH
2019,350308,HOSP
2019,350308,HUMA
2019,350308,INFO
2019,350308,LAW
2019,350308,MANU
2019,350308,MRKT
2019,350308,STEM
2019,350308,TRAN
2019,350310,BMA
2019,350310,CD
2019,350310,FINA
2019,350310,HOSP
2019,350310,INFO
2019,350310,MRKT
2019,710316,INFO
2019,710316,STEM
2019,120310,AAVC
2019,120310,AGNR
2019,120310,ARCH
2019,120310,FINA
2019,120310,HUMA
2019,120310,INFO
2019,120310,LAW
2019,120310,MANU
2019,120310,MRKT
2019,120310,STEM
2019,120310,TRAN
2019,230312,AAVC
2019,230312,AGNR
2019,230312,ARCH
2019,230312,BMA
2019,230312,EDUC
2019,230312,FINA
2019,230312,HLTH
2019,230312,HOSP
2019,230312,HUMA
2019,230312,INFO
2019,230312,LAW
2019,230312,MANU
2019,230312,MRKT
2019,230312,STEM
2019,230312,TRAN
2019,230316,AGNR
2019,230316,BMA
2019,230316,FINA
2019,230316,HOSP
2019,230316,INFO
2019,230316,MRKT
2019,230316,STEM
2019,600361,AAVC
2019,600361,AGNR
2019,600361,ARCH
2019,600361,BMA
2019,600361,EDUC
2019,600361,FINA
2019,600361,HLTH
2019,600361,HOSP
2019,600361,HUMA
2019,600361,INFO
2019,600361,LAW
2019,600361,MANU
2019,600361,MRKT
2019,600361,STEM
2019,600361,TRAN
2019,390309,INFO
2019,390309,STEM
2019,130318,AAVC
2019,130318,BMA
2019,130318,CD
2019,130318,EDUC
2019,130318,FINA
2019,130318,HOSP
2019,130318,HUMA
2019,130318,INFO
2019,130318,MRKT
2019,130318,STEM
2019,320312,AAVC
2019,320312,AGNR
2019,320312,ARCH
2019,320312,BMA
2019,320312,EDUC
2019,320312,FINA
2019,320312,HLTH
2019,320312,HOSP
2019,320312,HUMA
2019,320312,INFO
2019,320312,LAW
2019,320312,MANU
2019,320312,MRKT
2019,320312,STEM
2019,320312,TRAN
2019,410458,CD
2019,740324,CD
2019,740324,INFO
2019,740324,STEM
2019,130317,AAVC
2019,130317,AGNR
2019,130317,ARCH
2019,130317,BMA
2019,130317,FINA
2019,130317,HOSP
2019,130317,HUMA
2019,130317,INFO
2019,130317,MANU
2019,130317,MRKT
2019,130317,TRAN
2019,130349,BMA
2019,130349,FINA
2019,130349,INFO
2019,130350,BMA
2019,130350,FINA
2019,130350,INFO
2019,130350,LAW
2019,130350,MRKT
2019,140305,AAVC
2019,140305,BMA
2019,140305,FINA
2019,140305,HLTH
2019,140305,HOSP
2019,140305,INFO
2019,140305,LAW
2019,140305,MANU
2019,140305,MRKT
2019,140305,STEM
2019,140305,TRAN
2019,140309,ARCH
2019,140309,BMA
2019,140309,FINA
2019,140309,INFO
2019,140309,LAW
2019,140309,MRKT
2019,140309,STEM
2019,150304,AAVC
2019,150304,AGNR
2019,150304,ARCH
2019,150304,BMA
2019,150304,EDUC
2019,150304,FINA
2019,150304,HLTH
2019,150304,HOSP
2019,150304,HUMA
2019,150304,INFO
2019,150304,LAW
2019,150304,MANU
2019,150304,MRKT
2019,150304,STEM
2019,150304,TRAN
2019,150350,AAVC
2019,150350,AGNR
2019,150350,ARCH
2019,150350,BMA
2019,150350,EDUC
2019,150350,FINA
2019,150350,HLTH
2019,150350,HOSP
2019,150350,HUMA
2019,150350,INFO
2019,150350,LAW
2019,150350,MANU
2019,150350,MRKT
2019,150350,TRAN
2019,150312,AGNR
2019,150312,INFO
2019,110326,AAVC
2019,110326,BMA
2019,110326,CD
2019,110326,EDUC
2019,110326,FINA
2019,110326,HOSP
2019,110326,HUMA
2019,110326,MRKT
2019,110326,STEM
2019,995316,INFO
2019,440320,CD
2019,440320,STEM
2019,260325,AAVC
2019,260325,AGNR
2019,260325,ARCH
2019,260325,BMA
2019,260325,EDUC
2019,260325,FINA
2019,260325,HLTH
2019,260325,HOSP
2019,260325,HUMA
2019,260325,INFO
2019,260325,LAW
2019,260325,MANU
2019,260325,MRKT
2019,260325,STEM
2019,260325,TRAN
2019,710320,BMA
2019,710320,CD
2019,710320,FINA
2019,710320,HOSP
2019,710320,INFO
2019,710320,MRKT
2019,280304,AAVC
2019,280304,AGNR
2019,280304,ARCH
2019,280304,BMA
2019,280304,EDUC
2019,280304,FINA
2019,280304,HLTH
2019,280304,HOSP
2019,280304,HUMA
2019,280304,INFO
2019,280304,LAW
2019,280304,MANU
2019,280304,MRKT
2019,280304,STEM
2019,280304,TRAN
2019,490310,AAVC
2019,490310,AGNR
2019,490310,ARCH
2019,490310,BMA
2019,490310,EDUC
2019,490310,FINA
2019,490310,HLTH
2019,490310,HOSP
2019,490310,HUMA
2019,490310,INFO
2019,490310,LAW
2019,490310,MANU
2019,490310,MRKT
2019,490310,STEM
2019,490310,TRAN
2019,010311,AAVC
2019,010311,AGNR
2019,010311,ARCH
2019,010311,BMA
2019,010311,EDUC
2019,010311,FINA
2019,010311,HLTH
2019,010311,HOSP
2019,010311,HUMA
2019,010311,INFO
2019,010311,LAW
2019,010311,MANU
2019,010311,MRKT
2019,010311,STEM
2019,010311,TRAN
2019,340332,AAVC
2019,340332,AGNR
2019,340332,ARCH
2019,340332,BMA
2019,340332,EDUC
2019,340332,FINA
2019,340332,HLTH
2019,340332,HOSP
2019,340332,HUMA
2019,340332,INFO
2019,340332,LAW
2019,340332,MANU
2019,340332,MRKT
2019,340332,STEM
2019,340332,TRAN
2019,650355,AAVC
2019,650355,AGNR
2019,650355,ARCH
2019,650355,BMA
2019,650355,FINA
2019,650355,HOSP
2019,650355,HUMA
2019,650355,INFO
2019,650355,MANU
